,primary_key,location_code,location,plastics_polymer,plastics_applications,total_waste,total_use
61,OAMFibresTextile sector - clothing,OAM,Other OECD America,Fibres,Textile sector - clothing,0.426387504,0.463323
62,OAMBioplasticsTextile sector - clothing,OAM,Other OECD America,Bioplastics,Textile sector - clothing,0.003767438,0.004061
63,OAMFibresTextile sector - others,OAM,Other OECD America,Fibres,Textile sector - others,0.397807721,0.431334
64,OAMRoad marking coatingsRoad marking,OAM,Other OECD America,Road marking coatings,Road marking,0.024424897,0.026081
65,OAMElastomers (tyres)Transportation - tyres,OAM,Other OECD America,Elastomers (tyres),Transportation - tyres,0.117622135,0.143002
66,O22OtherOther,O22,OECD EU ,Other,Other,4.008529045,4.521182
67,"O22LDPE, LLDPEOther",O22,OECD EU ,"LDPE, LLDPE",Other,0.709530589,0.821618
68,O22HDPEOther,O22,OECD EU ,HDPE,Other,0.536846308,0.64007
69,O22PSOther,O22,OECD EU ,PS,Other,0.24219642,0.277381
70,O22PVCOther,O22,OECD EU ,PVC,Other,0.853971299,0.996187
71,O22PUROther,O22,OECD EU ,PUR,Other,0.6672446,0.741811
72,O22FibresOther,O22,OECD EU ,Fibres,Other,1.347070635,1.511481
73,O22BioplasticsOther,O22,OECD EU ,Bioplastics,Other,0.032410548,0.036394
74,"O22ABS, ASA, SANOther",O22,OECD EU ,"ABS, ASA, SAN",Other,0.091898592,0.102236
75,O22OtherPackaging,O22,OECD EU ,Other,Packaging,0.211359786,0.213928
76,"O22LDPE, LLDPEPackaging",O22,OECD EU ,"LDPE, LLDPE",Packaging,4.682598766,4.731087
77,O22HDPEPackaging,O22,OECD EU ,HDPE,Packaging,4.706807212,4.757081
78,O22PPPackaging,O22,OECD EU ,PP,Packaging,4.56490752,4.609926
79,O22PSPackaging,O22,OECD EU ,PS,Packaging,0.825104922,0.835762
80,O22PVCPackaging,O22,OECD EU ,PVC,Packaging,0.50539349,0.508173
81,O22PETPackaging,O22,OECD EU ,PET,Packaging,3.546020501,3.582501
82,O22PURPackaging,O22,OECD EU ,PUR,Packaging,0.04654148,0.047096
83,O22BioplasticsPackaging,O22,OECD EU ,Bioplastics,Packaging,0.179334455,0.179929
84,O22OtherConsumer & institutional Products,O22,OECD EU ,Other,Consumer & institutional Products,0.493904716,0.540959
85,"O22LDPE, LLDPEConsumer & institutional Products",O22,OECD EU ,"LDPE, LLDPE",Consumer & institutional Products,0.961958612,1.053096
86,O22HDPEConsumer & institutional Products,O22,OECD EU ,HDPE,Consumer & institutional Products,0.717941634,0.790791
87,O22PPConsumer & institutional Products,O22,OECD EU ,PP,Consumer & institutional Products,1.914260628,2.093151
88,O22PSConsumer & institutional Products,O22,OECD EU ,PS,Consumer & institutional Products,0.620157974,0.679893
89,O22PVCConsumer & institutional Products,O22,OECD EU ,PVC,Consumer & institutional Products,0.296770481,0.322964
90,O22PURConsumer & institutional Products,O22,OECD EU ,PUR,Consumer & institutional Products,0.262845641,0.287874
91,O22BioplasticsConsumer & institutional Products,O22,OECD EU ,Bioplastics,Consumer & institutional Products,0.020337552,0.022082
92,"O22ABS, ASA, SANConsumer & institutional Products",O22,OECD EU ,"ABS, ASA, SAN",Consumer & institutional Products,0.498830412,0.546295
93,O22OtherBuilding & construction,O22,OECD EU ,Other,Building & construction,0.763221722,1.823863
