,entity,code,year,per_capita_plastic_waste,gdp_per_capita,population
39872,Palau,PLW,2010,0.144,14744.528,18563.0
40094,Palestine,PSE,2010,0.063,5411.0664,3992283.0
40316,Panama,PAN,2010,0.145,21455.684,3623622.0
40575,Papua New Guinea,PNG,2010,0.103,3283.715,7583269.0
41094,Peru,PER,2010,0.144,9996.9375,29229576.0
41353,Philippines,PHL,2010,0.075,5876.478,94636704.0
41613,Poland,POL,2010,0.097,23692.91,38597356.0
41872,Portugal,PRT,2010,0.265,31798.154,10588401.0
42131,Puerto Rico,PRI,2010,0.252,32960.7,3717920.0
42251,Qatar,QAT,2010,0.16,103902.516,1713512.0
42610,Romania,ROU,2010,0.042,20419.188,20335212.0
42869,Russia,RUS,2010,0.112,23961.22,143242592.0
43547,Saint Kitts and Nevis,KNA,2010,0.654,24572.832,47429.0
43795,Saint Lucia,LCA,2010,0.522,14448.265,170950.0
44238,Saint Vincent and the Grenadines,VCT,2010,0.221,11606.397,109324.0
44487,Samoa,WSM,2010,0.103,5808.3037,194686.0
44958,Sao Tome and Principe,STP,2010,0.103,3324.9163,182154.0
45217,Saudi Arabia,SAU,2010,0.156,41056.547,29411930.0
45477,Senegal,SEN,2010,0.103,2830.1533,12530128.0
46056,Seychelles,SYC,2010,0.358,21322.54,92424.0
46278,Sierra Leone,SLE,2010,0.041,1401.5741,6436699.0
46537,Singapore,SGP,2010,0.194,78115.21,5163585.0
46796,Sint Maarten (Dutch part),SXM,2010,0.252,43543.89,33056.0
47127,Slovenia,SVN,2010,0.145,33350.613,2057294.0
47386,Solomon Islands,SLB,2010,0.103,2411.071,540402.0
47905,South Africa,ZAF,2010,0.24,13469.361,51784928.0
48456,South Korea,KOR,2010,0.112,34394.492,48813036.0
48940,Spain,ESP,2010,0.277,37298.47,46572776.0
49199,Sri Lanka,LKA,2010,0.357,9440.672,20668556.0
49490,Sudan,SDN,2010,0.103,4745.2974,33739932.0
49749,Suriname,SUR,2010,0.163,18255.625,546085.0
50061,Sweden,SWE,2010,0.048,47791.37,9381722.0
51356,Tanzania,TZA,2010,0.023,1972.9811,45110532.0
51615,Thailand,THA,2010,0.144,14172.218,68270488.0
51874,Togo,TGO,2010,0.057,1588.3982,6571862.0
52210,Tonga,TON,2010,0.223,5002.6323,107401.0
52461,Trinidad and Tobago,TTO,2010,0.29,27329.424,1410297.0
52705,Tunisia,TUN,2010,0.144,10477.304,10895063.0
52964,Turkey,TUR,2010,0.212,19790.068,73195352.0
53589,Tuvalu,TUV,2010,0.144,3334.6072,10570.0
54301,Ukraine,UKR,2010,0.103,12221.44,45683024.0
54560,United Arab Emirates,ARE,2010,0.199,54664.613,8481775.0
54819,United Kingdom,GBR,2010,0.215,42270.434,62760048.0
55078,United States,USA,2010,0.335,54516.855,311182848.0
55709,Uruguay,URY,2010,0.252,19331.85,3352653.0
56227,Vanuatu,VUT,2010,0.295,2972.3171,245464.0
56937,Vietnam,VNM,2010,0.103,6324.526,87411016.0
