"LOCATION","Location","PLASTIC_CATEGORY","Plastic category","PLASTIC_SOURCES","Plastic sources","Value","Flag Codes","Flags"
"OPA","OECD Asia","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.076606768,,
"OPA","OECD Asia","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.003912268,,
"OPA","OECD Asia","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.000154471,,
"OPA","OECD Asia","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.000217493,,
"OPA","OECD Asia","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.014779988,,
"OPA","OECD Asia","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.000995851,,
"OPA","OECD Asia","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.006587709,,
"OPA","OECD Asia","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.000007046,,
"OPA","OECD Asia","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0.000866037,,
"OPA","OECD Asia","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.006998094,,
"OPA","OECD Asia","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.042087811,,
"OCE","OECD Oceania","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",0.030999391,,
"OCE","OECD Oceania","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.003331974,,
"OCE","OECD Oceania","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.003186769,,
"OCE","OECD Oceania","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",0.024480647,,
"OCE","OECD Oceania","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.017242484,,
"OCE","OECD Oceania","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.000785499,,
"OCE","OECD Oceania","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.000058134,,
"OCE","OECD Oceania","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.000113879,,
"OCE","OECD Oceania","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.004444893,,
"OCE","OECD Oceania","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.000293645,,
"OCE","OECD Oceania","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.000308549,,
"OCE","OECD Oceania","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.000137269,,
"OCE","OECD Oceania","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0.000181308,,
"OCE","OECD Oceania","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.00125295,,
"OCE","OECD Oceania","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.009666357,,
"LAM","Latin America","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",1.816722976,,
"LAM","Latin America","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.00991785,,
"LAM","Latin America","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.070147321,,
"LAM","Latin America","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",1.736657805,,
"LAM","Latin America","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.1763969,,
"LAM","Latin America","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.017412343,,
"LAM","Latin America","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.000137635,,
"LAM","Latin America","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.000157693,,
"LAM","Latin America","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.06259582,,
"LAM","Latin America","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.004060251,,
"LAM","Latin America","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.019522224,,
"LAM","Latin America","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.002290224,,
"LAM","Latin America","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0.003582988,,
"LAM","Latin America","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.047928147,,
"LAM","Latin America","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.018709575,,
"EU5","Other EU","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",0.068413613,,
"EU5","Other EU","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.000297582,,
"EU5","Other EU","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.006771342,,
"EU5","Other EU","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",0.061344689,,
"EU5","Other EU","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.017342374,,
"EU5","Other EU","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.002079721,,
