"LOCATION","Location","PLASTICS_APPLICATIONS","Plastics applications","PLASTICS_POLYMER","Plastics polymer","Value","Flag Codes","Flags"
"OAM","Other OECD America","BUILDING_AND_CONSTRUCTION","Building & construction","OTHER","Other",0.157821,,
"OAM","Other OECD America","BUILDING_AND_CONSTRUCTION","Building & construction","LDPE_LLDPE","LDPE, LLDPE",0.054073,,
"OAM","Other OECD America","BUILDING_AND_CONSTRUCTION","Building & construction","HDPE","HDPE",0.172483,,
"OAM","Other OECD America","BUILDING_AND_CONSTRUCTION","Building & construction","PP","PP",0.08736,,
"OAM","Other OECD America","BUILDING_AND_CONSTRUCTION","Building & construction","PS","PS",0.099867,,
"OAM","Other OECD America","BUILDING_AND_CONSTRUCTION","Building & construction","PVC","PVC",0.575078,,
"OAM","Other OECD America","BUILDING_AND_CONSTRUCTION","Building & construction","PUR","PUR",0.084127,,
"OAM","Other OECD America","BUILDING_AND_CONSTRUCTION","Building & construction","BIOPLASTICS","Bioplastics",0.001527,,
"OAM","Other OECD America","BUILDING_AND_CONSTRUCTION","Building & construction","ABS_ASA_SAN","ABS, ASA, SAN",0.004507,,
"OAM","Other OECD America","BUILDING_AND_CONSTRUCTION","Building & construction","TOTAL","Total",1.236843,,
"OAM","Other OECD America","ELECTRICAL_ELECTRONIC","Electrical/electronics","OTHER","Other",0.166151,,
"OAM","Other OECD America","ELECTRICAL_ELECTRONIC","Electrical/electronics","LDPE_LLDPE","LDPE, LLDPE",0.04588,,
"OAM","Other OECD America","ELECTRICAL_ELECTRONIC","Electrical/electronics","HDPE","HDPE",0.014783,,
"OAM","Other OECD America","ELECTRICAL_ELECTRONIC","Electrical/electronics","PP","PP",0.107627,,
"OAM","Other OECD America","ELECTRICAL_ELECTRONIC","Electrical/electronics","PS","PS",0.04972,,
"OAM","Other OECD America","ELECTRICAL_ELECTRONIC","Electrical/electronics","PVC","PVC",0.042653,,
"OAM","Other OECD America","ELECTRICAL_ELECTRONIC","Electrical/electronics","PUR","PUR",0.026281,,
